"Invoice Name","Total Currency","Total","Account Name","Price Book: Price Book Name","Invoice Date","Product: Product Name"
"Invoice - 00110925","USD","-1380.80","Audi Bedford","Dealerware+ Audi","7/31/2025","CVP Program CCD"
"Invoice - 00110925","USD","-400.00","Audi Bedford","Dealerware+ Audi","7/31/2025","CVP Program FM"
"Invoice - 00110925","USD","400.00","Audi Bedford","Dealerware+ Audi","7/31/2025","Fleet Management"
"Invoice - 00113464","USD","1640.00","Audi Bedford","Dealerware+ Audi","8/31/2025","Connected Car Solutions"
"Invoice - 00113464","USD","-1393.60","Audi Bedford","Dealerware+ Audi","8/31/2025","CVP Program CCD"
"Invoice - 00113464","USD","-400.00","Audi Bedford","Dealerware+ Audi","8/31/2025","CVP Program FM"
"Invoice - 00113464","USD","400.00","Audi Bedford","Dealerware+ Audi","8/31/2025","Fleet Management"
"Invoice - 00115874","USD","1640.00","Audi Bedford","Dealerware+ Audi","9/30/2025","Connected Car Solutions"
"Invoice - 00115874","USD","-1408.00","Audi Bedford","Dealerware+ Audi","9/30/2025","CVP Program CCD"
"Invoice - 00115874","USD","-400.00","Audi Bedford","Dealerware+ Audi","9/30/2025","CVP Program FM"
"Invoice - 00115874","USD","400.00","Audi Bedford","Dealerware+ Audi","9/30/2025","Fleet Management"
"Invoice - 00119293","USD","1640.00","Audi Bedford","Dealerware+ Audi","10/31/2025","Connected Car Solutions"
"Invoice - 00099353","USD","1320.00","Audi Chandler","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099353","USD","-980.80","Audi Chandler","Dealerware+ Audi","1/31/2025","CVP Program CCD"
"Invoice - 00099353","USD","-400.00","Audi Chandler","Dealerware+ Audi","1/31/2025","CVP Program FM"
"Invoice - 00099353","USD","400.00","Audi Chandler","Dealerware+ Audi","1/31/2025","Fleet Management"
"Invoice - 00101432","USD","1320.00","Audi Chandler","Dealerware+ Audi","2/28/2025","Connected Car Solutions"
"Invoice - 00101432","USD","-1116.60","Audi Chandler","Dealerware+ Audi","2/28/2025","CVP Program CCD"
"Invoice - 00101432","USD","-400.00","Audi Chandler","Dealerware+ Audi","2/28/2025","CVP Program FM"
"Invoice - 00101432","USD","400.00","Audi Chandler","Dealerware+ Audi","2/28/2025","Fleet Management"
"Invoice - 00103411","USD","1320.00","Audi Chandler","Dealerware+ Audi","3/31/2025","Connected Car Solutions"
"Invoice - 00103411","USD","-1097.60","Audi Chandler","Dealerware+ Audi","3/31/2025","CVP Program CCD"
"Invoice - 00103411","USD","-400.00","Audi Chandler","Dealerware+ Audi","3/31/2025","CVP Program FM"
"Invoice - 00103411","USD","400.00","Audi Chandler","Dealerware+ Audi","3/31/2025","Fleet Management"
"Invoice - 00105369","USD","1320.00","Audi Chandler","Dealerware+ Audi","4/30/2025","Connected Car Solutions"
"Invoice - 00105369","USD","-1029.20","Audi Chandler","Dealerware+ Audi","4/30/2025","CVP Program CCD"
"Invoice - 00105369","USD","-400.00","Audi Chandler","Dealerware+ Audi","4/30/2025","CVP Program FM"
"Invoice - 00105369","USD","400.00","Audi Chandler","Dealerware+ Audi","4/30/2025","Fleet Management"
"Invoice - 00106806","USD","1320.00","Audi Chandler","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00106806","USD","-1077.60","Audi Chandler","Dealerware+ Audi","5/31/2025","CVP Program CCD"
"Invoice - 00106806","USD","-400.00","Audi Chandler","Dealerware+ Audi","5/31/2025","CVP Program FM"
"Invoice - 00106806","USD","400.00","Audi Chandler","Dealerware+ Audi","5/31/2025","Fleet Management"
"Invoice - 00109383","USD","1320.00","Audi Chandler","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00109383","USD","-1157.60","Audi Chandler","Dealerware+ Audi","6/30/2025","CVP Program CCD"
"Invoice - 00109383","USD","-400.00","Audi Chandler","Dealerware+ Audi","6/30/2025","CVP Program FM"
"Invoice - 00109383","USD","400.00","Audi Chandler","Dealerware+ Audi","6/30/2025","Fleet Management"
"Invoice - 00111469","USD","1320.00","Audi Chandler","Dealerware+ Audi","7/31/2025","Connected Car Solutions"
"Invoice - 00111469","USD","-1320.00","Audi Chandler","Dealerware+ Audi","7/31/2025","CVP Program CCD"
"Invoice - 00111469","USD","-400.00","Audi Chandler","Dealerware+ Audi","7/31/2025","CVP Program FM"
"Invoice - 00111469","USD","400.00","Audi Chandler","Dealerware+ Audi","7/31/2025","Fleet Management"
"Invoice - 00111469","USD","61.00","Audi Chandler","Dealerware+ Audi","7/31/2025","Insurance Verification"
"Invoice - 00113163","USD","1320.00","Audi Chandler","Dealerware+ Audi","8/31/2025","Connected Car Solutions"
"Invoice - 00113163","USD","-1320.00","Audi Chandler","Dealerware+ Audi","8/31/2025","CVP Program CCD"
"Invoice - 00113163","USD","-400.00","Audi Chandler","Dealerware+ Audi","8/31/2025","CVP Program FM"
"Invoice - 00113163","USD","400.00","Audi Chandler","Dealerware+ Audi","8/31/2025","Fleet Management"
"Invoice - 00113163","USD","290.00","Audi Chandler","Dealerware+ Audi","8/31/2025","Insurance Verification"
"Invoice - 00115775","USD","1320.00","Audi Chandler","Dealerware+ Audi","9/30/2025","Connected Car Solutions"
"Invoice - 00115775","USD","-1320.00","Audi Chandler","Dealerware+ Audi","9/30/2025","CVP Program CCD"
"Invoice - 00115775","USD","-400.00","Audi Chandler","Dealerware+ Audi","9/30/2025","CVP Program FM"
"Invoice - 00115775","USD","400.00","Audi Chandler","Dealerware+ Audi","9/30/2025","Fleet Management"
"Invoice - 00115775","USD","305.00","Audi Chandler","Dealerware+ Audi","9/30/2025","Insurance Verification"
"Invoice - 00118905","USD","1320.00","Audi Chandler","Dealerware+ Audi","10/31/2025","Connected Car Solutions"
"Invoice - 00099208","USD","2400.00","Audi Chantilly","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099208","USD","193.55","Audi Chantilly","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099208","USD","-2079.20","Audi Chantilly","Dealerware+ Audi","1/31/2025","CVP Program CCD"
"Invoice - 00099208","USD","-400.00","Audi Chantilly","Dealerware+ Audi","1/31/2025","CVP Program FM"
"Invoice - 00099208","USD","-1039.60","Audi Chantilly","Dealerware+ Audi","1/31/2025","CVP Program Toll Management"
"Invoice - 00099208","USD","400.00","Audi Chantilly","Dealerware+ Audi","1/31/2025","Fleet Management"
"Invoice - 00099208","USD","520.89","Audi Chantilly","Dealerware+ Audi","1/31/2025","Toll Charges Incurred"
"Invoice - 00099208","USD","1170.00","Audi Chantilly","Dealerware+ Audi","1/31/2025","Toll Management Solutions"
"Invoice - 00101287","USD","2800.00","Audi Chantilly","Dealerware+ Audi","2/28/2025","Connected Car Solutions"
"Invoice - 00101287","USD","-2059.60","Audi Chantilly","Dealerware+ Audi","2/28/2025","CVP Program CCD"
"Invoice - 00101287","USD","-400.00","Audi Chantilly","Dealerware+ Audi","2/28/2025","CVP Program FM"
"Invoice - 00101287","USD","-1029.80","Audi Chantilly","Dealerware+ Audi","2/28/2025","CVP Program Toll Management"
"Invoice - 00101287","USD","400.00","Audi Chantilly","Dealerware+ Audi","2/28/2025","Fleet Management"
"Invoice - 00101287","USD","2211.42","Audi Chantilly","Dealerware+ Audi","2/28/2025","Toll Charges Incurred"
"Invoice - 00101287","USD","1120.00","Audi Chantilly","Dealerware+ Audi","2/28/2025","Toll Management Solutions"
"Invoice - 00103270","USD","2800.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","Connected Car Solutions"
"Invoice - 00103270","USD","-2006.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","CVP Program CCD"
"Invoice - 00103270","USD","-400.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","CVP Program FM"
"Invoice - 00103270","USD","-1003.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","CVP Program Toll Management"
"Invoice - 00103270","USD","400.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","Fleet Management"
"Invoice - 00103270","USD","2482.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","Toll Charges Incurred"
"Invoice - 00103270","USD","1030.00","Audi Chantilly","Dealerware+ Audi","3/31/2025","Toll Management Solutions"
"Invoice - 00105232","USD","2800.00","Audi Chantilly","Dealerware+ Audi","4/30/2025","Connected Car Solutions"
"Invoice - 00105232","USD","-2064.60","Audi Chantilly","Dealerware+ Audi","4/30/2025","CVP Program CCD"
"Invoice - 00105232","USD","-400.00","Audi Chantilly","Dealerware+ Audi","4/30/2025","CVP Program FM"
"Invoice - 00105232","USD","-1032.30","Audi Chantilly","Dealerware+ Audi","4/30/2025","CVP Program Toll Management"
"Invoice - 00105232","USD","400.00","Audi Chantilly","Dealerware+ Audi","4/30/2025","Fleet Management"
"Invoice - 00105232","USD","909.81","Audi Chantilly","Dealerware+ Audi","4/30/2025","Toll Charges Incurred"
"Invoice - 00105232","USD","1140.00","Audi Chantilly","Dealerware+ Audi","4/30/2025","Toll Management Solutions"
"Invoice - 00106756","USD","2800.00","Audi Chantilly","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00106756","USD","-1998.20","Audi Chantilly","Dealerware+ Audi","5/31/2025","CVP Program CCD"
"Invoice - 00106756","USD","-400.00","Audi Chantilly","Dealerware+ Audi","5/31/2025","CVP Program FM"
"Invoice - 00106756","USD","-999.10","Audi Chantilly","Dealerware+ Audi","5/31/2025","CVP Program Toll Management"
"Invoice - 00106756","USD","400.00","Audi Chantilly","Dealerware+ Audi","5/31/2025","Fleet Management"
"Invoice - 00106756","USD","2886.86","Audi Chantilly","Dealerware+ Audi","5/31/2025","Toll Charges Incurred"
"Invoice - 00106756","USD","1060.00","Audi Chantilly","Dealerware+ Audi","5/31/2025","Toll Management Solutions"
"Invoice - 00109247","USD","2800.00","Audi Chantilly","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00109247","USD","186.67","Audi Chantilly","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00109247","USD","-2190.40","Audi Chantilly","Dealerware+ Audi","6/30/2025","CVP Program CCD"
"Invoice - 00109247","USD","-400.00","Audi Chantilly","Dealerware+ Audi","6/30/2025","CVP Program FM"
"Invoice - 00109247","USD","-1095.20","Audi Chantilly","Dealerware+ Audi","6/30/2025","CVP Program Toll Management"
"Invoice - 00109247","USD","400.00","Audi Chantilly","Dealerware+ Audi","6/30/2025","Fleet Management"
"Invoice - 00109247","USD","4520.39","Audi Chantilly","Dealerware+ Audi","6/30/2025","Toll Charges Incurred"
"Invoice - 00109247","USD","1100.00","Audi Chantilly","Dealerware+ Audi","6/30/2025","Toll Management Solutions"
"Invoice - 00111334","USD","3000.00","Audi Chantilly","Dealerware+ Audi","7/31/2025","Connected Car Solutions"
"Invoice - 00111334","USD","-2363.60","Audi Chantilly","Dealerware+ Audi","7/31/2025","CVP Program CCD"
"Invoice - 00111334","USD","-400.00","Audi Chantilly","Dealerware+ Audi","7/31/2025","CVP Program FM"
"Invoice - 00111334","USD","-1160.00","Audi Chantilly","Dealerware+ Audi","7/31/2025","CVP Program Toll Management"
"Invoice - 00111334","USD","400.00","Audi Chantilly","Dealerware+ Audi","7/31/2025","Fleet Management"
"Invoice - 00111334","USD","3810.10","Audi Chantilly","Dealerware+ Audi","7/31/2025","Toll Charges Incurred"
"Invoice - 00111334","USD","1160.00","Audi Chantilly","Dealerware+ Audi","7/31/2025","Toll Management Solutions"
"Invoice - 00113040","USD","3000.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","Connected Car Solutions"
"Invoice - 00113040","USD","-2348.20","Audi Chantilly","Dealerware+ Audi","8/31/2025","CVP Program CCD"
"Invoice - 00113040","USD","-400.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","CVP Program FM"
"Invoice - 00113040","USD","-1150.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","CVP Program Toll Management"
"Invoice - 00113040","USD","400.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","Fleet Management"
"Invoice - 00113040","USD","-200.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","Services Credit"
"Invoice - 00113040","USD","3245.60","Audi Chantilly","Dealerware+ Audi","8/31/2025","Toll Charges Incurred"
"Invoice - 00113040","USD","1150.00","Audi Chantilly","Dealerware+ Audi","8/31/2025","Toll Management Solutions"
"Invoice - 00115667","USD","3000.00","Audi Chantilly","Dealerware+ Audi","9/30/2025","Connected Car Solutions"
"Invoice - 00115667","USD","-2337.20","Audi Chantilly","Dealerware+ Audi","9/30/2025","CVP Program CCD"
"Invoice - 00115667","USD","-400.00","Audi Chantilly","Dealerware+ Audi","9/30/2025","CVP Program FM"
"Invoice - 00115667","USD","-1150.00","Audi Chantilly","Dealerware+ Audi","9/30/2025","CVP Program Toll Management"
"Invoice - 00115667","USD","400.00","Audi Chantilly","Dealerware+ Audi","9/30/2025","Fleet Management"
"Invoice - 00115667","USD","3116.96","Audi Chantilly","Dealerware+ Audi","9/30/2025","Toll Charges Incurred"
"Invoice - 00115667","USD","1150.00","Audi Chantilly","Dealerware+ Audi","9/30/2025","Toll Management Solutions"
"Invoice - 00118817","USD","3000.00","Audi Chantilly","Dealerware+ Audi","10/31/2025","Connected Car Solutions"
"Invoice - 00099287","USD","750.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","Connected Car Services Replacement"
"Invoice - 00099287","USD","1240.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099287","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","CVP Program CCD"
"Invoice - 00099287","USD","-400.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","CVP Program FM"
"Invoice - 00099287","USD","-630.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","CVP Program Toll Management"
"Invoice - 00099287","USD","400.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","Fleet Management"
"Invoice - 00099287","USD","-750.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","Services Credit"
"Invoice - 00099287","USD","2224.09","Audi Eatontown","Dealerware+ Audi","1/31/2025","Toll Charges Incurred"
"Invoice - 00099287","USD","630.00","Audi Eatontown","Dealerware+ Audi","1/31/2025","Toll Management Solutions"
"Invoice - 00101367","USD","1240.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","Connected Car Solutions"
"Invoice - 00101367","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","CVP Program CCD"
"Invoice - 00101367","USD","-400.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","CVP Program FM"
"Invoice - 00101367","USD","-640.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","CVP Program Toll Management"
"Invoice - 00101367","USD","400.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","Fleet Management"
"Invoice - 00101367","USD","3584.98","Audi Eatontown","Dealerware+ Audi","2/28/2025","Toll Charges Incurred"
"Invoice - 00101367","USD","640.00","Audi Eatontown","Dealerware+ Audi","2/28/2025","Toll Management Solutions"
"Invoice - 00103343","USD","1240.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","Connected Car Solutions"
"Invoice - 00103343","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","CVP Program CCD"
"Invoice - 00103343","USD","-400.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","CVP Program FM"
"Invoice - 00103343","USD","-620.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","CVP Program Toll Management"
"Invoice - 00103343","USD","400.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","Fleet Management"
"Invoice - 00103343","USD","3383.81","Audi Eatontown","Dealerware+ Audi","3/31/2025","Toll Charges Incurred"
"Invoice - 00103343","USD","620.00","Audi Eatontown","Dealerware+ Audi","3/31/2025","Toll Management Solutions"
"Invoice - 00105304","USD","1240.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","Connected Car Solutions"
"Invoice - 00105304","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","CVP Program CCD"
"Invoice - 00105304","USD","-400.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","CVP Program FM"
"Invoice - 00105304","USD","-630.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","CVP Program Toll Management"
"Invoice - 00105304","USD","400.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","Fleet Management"
"Invoice - 00105304","USD","2631.81","Audi Eatontown","Dealerware+ Audi","4/30/2025","Toll Charges Incurred"
"Invoice - 00105304","USD","630.00","Audi Eatontown","Dealerware+ Audi","4/30/2025","Toll Management Solutions"
"Invoice - 00107498","USD","250.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","Connected Car Services Replacement"
"Invoice - 00107498","USD","1240.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00107498","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","CVP Program CCD"
"Invoice - 00107498","USD","-400.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","CVP Program FM"
"Invoice - 00107498","USD","-590.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","CVP Program Toll Management"
"Invoice - 00107498","USD","400.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","Fleet Management"
"Invoice - 00107498","USD","-250.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","Services Credit"
"Invoice - 00107498","USD","3123.38","Audi Eatontown","Dealerware+ Audi","5/31/2025","Toll Charges Incurred"
"Invoice - 00107498","USD","590.00","Audi Eatontown","Dealerware+ Audi","5/31/2025","Toll Management Solutions"
"Invoice - 00109317","USD","1240.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00109317","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","CVP Program CCD"
"Invoice - 00109317","USD","-400.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","CVP Program FM"
"Invoice - 00109317","USD","-590.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","CVP Program Toll Management"
"Invoice - 00109317","USD","400.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","Fleet Management"
"Invoice - 00109317","USD","5600.11","Audi Eatontown","Dealerware+ Audi","6/30/2025","Toll Charges Incurred"
"Invoice - 00109317","USD","590.00","Audi Eatontown","Dealerware+ Audi","6/30/2025","Toll Management Solutions"
"Invoice - 00111403","USD","1240.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","Connected Car Solutions"
"Invoice - 00111403","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","CVP Program CCD"
"Invoice - 00111403","USD","-400.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","CVP Program FM"
"Invoice - 00111403","USD","-640.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","CVP Program Toll Management"
"Invoice - 00111403","USD","400.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","Fleet Management"
"Invoice - 00111403","USD","3032.95","Audi Eatontown","Dealerware+ Audi","7/31/2025","Toll Charges Incurred"
"Invoice - 00111403","USD","640.00","Audi Eatontown","Dealerware+ Audi","7/31/2025","Toll Management Solutions"
"Invoice - 00113094","USD","1240.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","Connected Car Solutions"
"Invoice - 00113094","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","CVP Program CCD"
"Invoice - 00113094","USD","-400.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","CVP Program FM"
"Invoice - 00113094","USD","-640.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","CVP Program Toll Management"
"Invoice - 00113094","USD","400.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","Fleet Management"
"Invoice - 00113094","USD","3547.20","Audi Eatontown","Dealerware+ Audi","8/31/2025","Toll Charges Incurred"
"Invoice - 00113094","USD","640.00","Audi Eatontown","Dealerware+ Audi","8/31/2025","Toll Management Solutions"
"Invoice - 00115700","USD","1240.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","Connected Car Solutions"
"Invoice - 00115700","USD","-1240.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","CVP Program CCD"
"Invoice - 00115700","USD","-400.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","CVP Program FM"
"Invoice - 00115700","USD","-640.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","CVP Program Toll Management"
"Invoice - 00115700","USD","400.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","Fleet Management"
"Invoice - 00115700","USD","3181.65","Audi Eatontown","Dealerware+ Audi","9/30/2025","Toll Charges Incurred"
"Invoice - 00115700","USD","640.00","Audi Eatontown","Dealerware+ Audi","9/30/2025","Toll Management Solutions"
"Invoice - 00119411","USD","1240.00","Audi Eatontown","Dealerware+ Audi","10/31/2025","Connected Car Solutions"
"Invoice - 00119411","USD","32.26","Audi Eatontown","Dealerware+ Audi","10/31/2025","Connected Car Solutions"
"Invoice - 00099301","USD","2500.00","Audi Escondido","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099301","USD","-1270.60","Audi Escondido","Dealerware+ Audi","1/31/2025","CVP Program CCD"
"Invoice - 00099301","USD","-400.00","Audi Escondido","Dealerware+ Audi","1/31/2025","CVP Program FM"
"Invoice - 00099301","USD","400.00","Audi Escondido","Dealerware+ Audi","1/31/2025","Fleet Management"
"Invoice - 00101381","USD","2500.00","Audi Escondido","Dealerware+ Audi","2/28/2025","Connected Car Solutions"
"Invoice - 00101381","USD","-1252.00","Audi Escondido","Dealerware+ Audi","2/28/2025","CVP Program CCD"
"Invoice - 00101381","USD","-400.00","Audi Escondido","Dealerware+ Audi","2/28/2025","CVP Program FM"
"Invoice - 00101381","USD","400.00","Audi Escondido","Dealerware+ Audi","2/28/2025","Fleet Management"
"Invoice - 00103357","USD","2500.00","Audi Escondido","Dealerware+ Audi","3/31/2025","Connected Car Solutions"
"Invoice - 00103357","USD","-1274.20","Audi Escondido","Dealerware+ Audi","3/31/2025","CVP Program CCD"
"Invoice - 00103357","USD","-400.00","Audi Escondido","Dealerware+ Audi","3/31/2025","CVP Program FM"
"Invoice - 00103357","USD","400.00","Audi Escondido","Dealerware+ Audi","3/31/2025","Fleet Management"
"Invoice - 00105318","USD","2500.00","Audi Escondido","Dealerware+ Audi","4/30/2025","Connected Car Solutions"
"Invoice - 00105318","USD","-1300.00","Audi Escondido","Dealerware+ Audi","4/30/2025","CVP Program CCD"
"Invoice - 00105318","USD","-400.00","Audi Escondido","Dealerware+ Audi","4/30/2025","CVP Program FM"
"Invoice - 00105318","USD","400.00","Audi Escondido","Dealerware+ Audi","4/30/2025","Fleet Management"
"Invoice - 00107511","USD","2500.00","Audi Escondido","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00107511","USD","-1302.60","Audi Escondido","Dealerware+ Audi","5/31/2025","CVP Program CCD"
"Invoice - 00107511","USD","-400.00","Audi Escondido","Dealerware+ Audi","5/31/2025","CVP Program FM"
"Invoice - 00107511","USD","400.00","Audi Escondido","Dealerware+ Audi","5/31/2025","Fleet Management"
"Invoice - 00109331","USD","2500.00","Audi Escondido","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00109331","USD","-1414.80","Audi Escondido","Dealerware+ Audi","6/30/2025","CVP Program CCD"
"Invoice - 00109331","USD","-400.00","Audi Escondido","Dealerware+ Audi","6/30/2025","CVP Program FM"
"Invoice - 00109331","USD","400.00","Audi Escondido","Dealerware+ Audi","6/30/2025","Fleet Management"
"Invoice - 00111417","USD","2500.00","Audi Escondido","Dealerware+ Audi","7/31/2025","Connected Car Solutions"
"Invoice - 00111417","USD","-1408.40","Audi Escondido","Dealerware+ Audi","7/31/2025","CVP Program CCD"
"Invoice - 00111417","USD","-400.00","Audi Escondido","Dealerware+ Audi","7/31/2025","CVP Program FM"
"Invoice - 00111417","USD","400.00","Audi Escondido","Dealerware+ Audi","7/31/2025","Fleet Management"
"Invoice - 00113108","USD","2500.00","Audi Escondido","Dealerware+ Audi","8/31/2025","Connected Car Solutions"
"Invoice - 00113108","USD","-1380.60","Audi Escondido","Dealerware+ Audi","8/31/2025","CVP Program CCD"
"Invoice - 00113108","USD","-400.00","Audi Escondido","Dealerware+ Audi","8/31/2025","CVP Program FM"
"Invoice - 00113108","USD","400.00","Audi Escondido","Dealerware+ Audi","8/31/2025","Fleet Management"
"Invoice - 00115710","USD","2500.00","Audi Escondido","Dealerware+ Audi","9/30/2025","Connected Car Solutions"
"Invoice - 00115710","USD","-1534.00","Audi Escondido","Dealerware+ Audi","9/30/2025","CVP Program CCD"
"Invoice - 00115710","USD","-400.00","Audi Escondido","Dealerware+ Audi","9/30/2025","CVP Program FM"
